AZ:0
#rho_a,500,750,1000
0,0.00276,0.00298,0.00245
2,0.00227,0.00252,0.00194
4,0.00235,0.00245,0.00170
6,0.00134,0.00155,0.00126
8,0.00134,0.00157,0.00109
10,0.000902,0.000905,0.000805
12,0.000644,0.000660,0.000445
14,0.000883,0.00129,0.0011
16,0.003676,0.005704,0.003398
18,0.003832,0.0038,0.00334
20,0.029398,0.034246,0.027189
22,0.007489,0.009064,0.006453
24,0.005446,0.005863,0.004934
26,0.00281,0.003204,0.002045
28,0.001533,0.001214,0.000883
30,0.001209,0.001825,0.001214
32,0.001847,0.001391,0.001583
34,0.001369,0.001638,0.001092
36,0.001148,0.001541,0.001167
38,0.001005,0.001126,0.000771
40,0.000403,0.000551,0.000392
50,6.53E-05,9.04E-05,5.99E-05
60,3.15E-05,4.3E-05,3.2E-05
70,1.16E-05,1.61E-05,1.23E-05
80,6.41E-07,7.89E-07,6.35E-07
90,2.56E-07,3.51E-07,2.63E-07
100,1.49E-07,2.01E-07,1.51E-07
110,7.72E-08,1.05E-07,8.41E-08
120,2.6E-08,3.57E-08,2.62E-08
AZ:45
#rho_a,500,750,1000
0,0.00276,0.00298,0.00245
2,0.00227,0.00252,0.00194
4,0.00235,0.00245,0.00170
6,0.00134,0.00155,0.00126
8,0.00134,0.00157,0.00109
10,0.000902,0.000905,0.000805
12,0.000644,0.000660,0.000445
14,0.000883,0.000129,0.000110
16,0.003691,0.004888,0.003464
18,0.003983,0.004022,0.002991
20,0.024394,0.029317,0.022713
22,0.000553,0.000836,0.00072
24,0.000534,0.000969,0.000685
26,0.002764,0.002714,0.002149
28,0.001626,0.001898,0.001428
30,0.001383,0.001704,0.001288
32,0.001217,0.00158,0.001834
34,0.001398,0.001548,0.001257
36,0.001312,0.001314,0.000845
38,0.000825,0.000626,0.000558
40,8.85E-05,0.000116,9.48E-05
50,5.45E-05,6.49E-05,4.67E-05
60,2.96E-05,3.26E-05,2.8E-05
70,3.69E-06,4.99E-06,3.68E-06
80,2.98E-07,3.79E-07,2.79E-07
90,1.51E-07,2.08E-07,1.54E-07
100,6.89E-08,9.36E-08,7.16E-08
110,1.57E-08,2.18E-08,1.61E-08
AZ:90
#rho_a,500,750,1000
0,0.00612,0.004755,0.004153
2,0.005412,0.005554,0.004977
4,0.004825,0.005082,0.004141
6,0.005731,0.005416,0.004272
8,0.005131,0.005985,0.005034
10,0.004597,0.004675,0.005248
12,0.004445,0.008371,0.004056
14,0.004835,0.005127,0.004952
16,0.004189,0.00483,0.0032
18,0.003615,0.004292,0.002646
20,0.028665,0.033291,0.02553
22,0.007203,0.007706,0.006765
24,0.005477,0.006027,0.004807
26,0.001622,0.002022,0.001231
28,0.001234,0.00146,0.001011
30,0.001564,0.001307,0.001438
32,0.001306,0.001732,0.001214
34,0.001117,0.001026,0.000947
36,0.000226,0.000228,0.000155
38,7.3E-05,9.92E-05,7.61E-05
40,6.02E-05,8.59E-05,6.58E-05
50,1.76E-05,3.85E-05,1.85E-05
60,1.49E-06,2.33E-06,1.44E-06
70,1.72E-07,2.46E-07,1.72E-07
80,2.64E-08,3.79E-08,2.81E-08
AZ:135
#rho_a,500,750,1000
0,0.00276,0.00298,0.00245
2,0.00227,0.00252,0.00194
4,0.00235,0.00245,0.00170
6,0.00134,0.00155,0.00126
8,0.00134,0.00157,0.00109
10,0.000902,0.000905,0.000805
12,0.000644,0.000660,0.000445
14,0.000883,0.00129,0.0011
16,0.004626,0.004449,0.003466
18,0.003887,0.004861,0.003059
20,0.024392,0.028421,0.022631
22,0.000655,0.000742,0.000681
24,0.000718,0.00067,0.000543
26,0.002811,0.003126,0.002279
28,0.001063,0.001567,0.001191
30,0.00099,0.001152,0.001319
32,0.000503,0.001179,0.000888
34,7.48E-05,0.000105,8.09E-05
36,6.28E-05,7.45E-05,6.21E-05
38,4.03E-05,5.4E-05,4.18E-05
40,2.51E-05,3.57E-05,2.82E-05
50,6.28E-07,2.81E-06,4.9E-07
AZ:180
#rho_a,500,750,1000
0,0.00612,0.004755,0.004153
2,0.005412,0.005554,0.004977
4,0.004825,0.005082,0.004141
6,0.005731,0.005416,0.004272
8,0.005131,0.005985,0.005034
10,0.004597,0.004675,0.005248
12,0.004445,0.008371,0.004056
14,0.004835,0.005127,0.004952
16,0.004643,0.005329,0.004281
18,0.003474,0.004038,0.002593
20,0.030117,0.033145,0.02591
22,0.006359,0.006633,0.006383
24,0.004888,0.006052,0.00499
26,0.000746,0.001162,0.000818
28,0.001495,0.00198,0.001154
30,0.001019,0.00134,0.001243
32,8.34E-05,0.00012,9.68E-05
34,8E-05,9.1E-05,8.33E-05
36,4.18E-05,6.55E-05,4.97E-05
38,2.8E-05,3.66E-05,2.77E-05
40,1.39E-05,2.04E-05,1.54E-05
50,2.05E-07,3.18E-07,2.23E-07
